quarantine_id,table_name,record_id,issue_type,action,detected_at,record_payload
QR0000011,dim_customer,C021804,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""25-34"", ""canton"": ""BE"", ""customer_created_date"": ""2025-01-06"", ""customer_id"": ""C021804"", ""customer_type"": ""Private"", ""lead_source"": ""Dealer Referral"", ""preferred_contact_method"": ""Email""}"
QR0000012,dim_customer,C047446,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""25-34"", ""canton"": ""ZH"", ""customer_created_date"": ""2022-03-05"", ""customer_id"": ""C047446"", ""customer_type"": ""Private"", ""lead_source"": ""Organic Search"", ""preferred_contact_method"": ""Phone""}"
QR0000013,dim_customer,C018342,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""65+"", ""canton"": ""BE"", ""customer_created_date"": ""2022-04-15"", ""customer_id"": ""C018342"", ""customer_type"": ""Private"", ""lead_source"": ""Partner"", ""preferred_contact_method"": ""WhatsApp""}"
QR0000014,dim_customer,C048202,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""18-24"", ""canton"": ""BE"", ""customer_created_date"": ""2021-09-03"", ""customer_id"": ""C048202"", ""customer_type"": ""Business"", ""lead_source"": ""Direct"", ""preferred_contact_method"": ""Email""}"
QR0000015,dim_customer,C044697,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""35-44"", ""canton"": ""ZG"", ""customer_created_date"": ""2020-12-26"", ""customer_id"": ""C044697"", ""customer_type"": ""Private"", ""lead_source"": ""Direct"", ""preferred_contact_method"": ""Phone""}"
QR0000016,dim_customer,C034077,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""35-44"", ""canton"": ""VD"", ""customer_created_date"": ""2022-09-25"", ""customer_id"": ""C034077"", ""customer_type"": ""Private"", ""lead_source"": ""Dealer Referral"", ""preferred_contact_method"": ""Phone""}"
QR0000017,dim_customer,C036254,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""45-54"", ""canton"": ""VS"", ""customer_created_date"": ""2023-10-03"", ""customer_id"": ""C036254"", ""customer_type"": ""Fleet"", ""lead_source"": ""Direct"", ""preferred_contact_method"": ""SMS""}"
QR0000018,dim_customer,C029940,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""65+"", ""canton"": ""VD"", ""customer_created_date"": ""2024-02-29"", ""customer_id"": ""C029940"", ""customer_type"": ""Private"", ""lead_source"": ""Partner"", ""preferred_contact_method"": ""Email""}"
QR0000019,dim_customer,C037068,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""45-54"", ""canton"": ""BE"", ""customer_created_date"": ""2023-03-13"", ""customer_id"": ""C037068"", ""customer_type"": ""Private"", ""lead_source"": ""Paid Search"", ""preferred_contact_method"": ""Email""}"
QR0000020,dim_customer,C044970,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""25-34"", ""canton"": ""VS"", ""customer_created_date"": ""2022-11-23"", ""customer_id"": ""C044970"", ""customer_type"": ""Private"", ""lead_source"": ""Dealer Referral"", ""preferred_contact_method"": ""Phone""}"
QR0000021,dim_customer,C038296,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""55-64"", ""canton"": ""BS"", ""customer_created_date"": ""2021-11-04"", ""customer_id"": ""C038296"", ""customer_type"": ""Private"", ""lead_source"": ""Organic Search"", ""preferred_contact_method"": ""Email""}"
QR0000022,dim_customer,C008355,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""35-44"", ""canton"": ""GE"", ""customer_created_date"": ""2020-04-17"", ""customer_id"": ""C008355"", ""customer_type"": ""Private"", ""lead_source"": ""Direct"", ""preferred_contact_method"": ""Phone""}"
QR0000023,dim_customer,C006993,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""35-44"", ""canton"": ""AR"", ""customer_created_date"": ""2022-07-22"", ""customer_id"": ""C006993"", ""customer_type"": ""Private"", ""lead_source"": ""Paid Search"", ""preferred_contact_method"": ""Phone""}"
QR0000024,dim_customer,C048154,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""45-54"", ""canton"": ""VD"", ""customer_created_date"": ""2023-09-28"", ""customer_id"": ""C048154"", ""customer_type"": ""Private"", ""lead_source"": ""Organic Search"", ""preferred_contact_method"": ""Phone""}"
QR0000025,dim_customer,C010084,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""35-44"", ""canton"": ""BL"", ""customer_created_date"": ""2021-09-27"", ""customer_id"": ""C010084"", ""customer_type"": ""Private"", ""lead_source"": ""Paid Search"", ""preferred_contact_method"": ""Email""}"
QR0000026,dim_customer,C039664,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""45-54"", ""canton"": ""BE"", ""customer_created_date"": ""2019-08-12"", ""customer_id"": ""C039664"", ""customer_type"": ""Private"", ""lead_source"": ""Paid Search"", ""preferred_contact_method"": ""Phone""}"
QR0000027,dim_customer,C007379,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""25-34"", ""canton"": ""BE"", ""customer_created_date"": ""2023-05-01"", ""customer_id"": ""C007379"", ""customer_type"": ""Fleet"", ""lead_source"": ""Social Media"", ""preferred_contact_method"": ""Email""}"
QR0000028,dim_customer,C018200,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""35-44"", ""canton"": ""AG"", ""customer_created_date"": ""2022-07-07"", ""customer_id"": ""C018200"", ""customer_type"": ""Private"", ""lead_source"": ""Direct"", ""preferred_contact_method"": ""Email""}"
QR0000029,dim_customer,C031707,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""65+"", ""canton"": ""LU"", ""customer_created_date"": ""2020-12-16"", ""customer_id"": ""C031707"", ""customer_type"": ""Private"", ""lead_source"": ""Organic Search"", ""preferred_contact_method"": ""Phone""}"
QR0000030,dim_customer,C048517,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""35-44"", ""canton"": ""ZH"", ""customer_created_date"": ""2022-07-28"", ""customer_id"": ""C048517"", ""customer_type"": ""Business"", ""lead_source"": ""Direct"", ""preferred_contact_method"": ""Email""}"
QR0000031,dim_customer,C000600,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""25-34"", ""canton"": ""ZG"", ""customer_created_date"": ""2021-01-29"", ""customer_id"": ""C000600"", ""customer_type"": ""Business"", ""lead_source"": ""Dealer Referral"", ""preferred_contact_method"": ""WhatsApp""}"
QR0000032,dim_customer,C037259,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""25-34"", ""canton"": ""SZ"", ""customer_created_date"": ""2020-05-23"", ""customer_id"": ""C037259"", ""customer_type"": ""Private"", ""lead_source"": ""Direct"", ""preferred_contact_method"": ""Email""}"
QR0000033,dim_customer,C012901,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""45-54"", ""canton"": ""BE"", ""customer_created_date"": ""2021-08-17"", ""customer_id"": ""C012901"", ""customer_type"": ""Business"", ""lead_source"": ""Social Media"", ""preferred_contact_method"": ""Phone""}"
QR0000034,dim_customer,C009570,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""65+"", ""canton"": ""BE"", ""customer_created_date"": ""2019-12-14"", ""customer_id"": ""C009570"", ""customer_type"": ""Private"", ""lead_source"": ""Organic Search"", ""preferred_contact_method"": ""Email""}"
QR0000035,dim_customer,C043953,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""35-44"", ""canton"": ""VD"", ""customer_created_date"": ""2021-11-09"", ""customer_id"": ""C043953"", ""customer_type"": ""Private"", ""lead_source"": ""Social Media"", ""preferred_contact_method"": ""Email""}"
QR0000036,dim_customer,C008966,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""45-54"", ""canton"": ""BS"", ""customer_created_date"": ""2020-08-30"", ""customer_id"": ""C008966"", ""customer_type"": ""Fleet"", ""lead_source"": ""Organic Search"", ""preferred_contact_method"": ""WhatsApp""}"
QR0000037,dim_customer,C003993,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""25-34"", ""canton"": ""LU"", ""customer_created_date"": ""2021-01-10"", ""customer_id"": ""C003993"", ""customer_type"": ""Private"", ""lead_source"": ""Dealer Referral"", ""preferred_contact_method"": ""Email""}"
QR0000038,dim_customer,C036261,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""35-44"", ""canton"": ""AG"", ""customer_created_date"": ""2022-11-03"", ""customer_id"": ""C036261"", ""customer_type"": ""Business"", ""lead_source"": ""Paid Search"", ""preferred_contact_method"": ""WhatsApp""}"
QR0000039,dim_customer,C031191,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""25-34"", ""canton"": ""ZH"", ""customer_created_date"": ""2022-10-24"", ""customer_id"": ""C031191"", ""customer_type"": ""Business"", ""lead_source"": ""Organic Search"", ""preferred_contact_method"": ""Email""}"
QR0000040,dim_customer,C042173,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""35-44"", ""canton"": ""AG"", ""customer_created_date"": ""2025-04-26"", ""customer_id"": ""C042173"", ""customer_type"": ""Private"", ""lead_source"": ""Organic Search"", ""preferred_contact_method"": ""WhatsApp""}"
QR0000041,dim_customer,C027127,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""45-54"", ""canton"": ""SG"", ""customer_created_date"": ""2021-08-30"", ""customer_id"": ""C027127"", ""customer_type"": ""Private"", ""lead_source"": ""Paid Search"", ""preferred_contact_method"": ""Phone""}"
QR0000042,dim_customer,C015205,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""25-34"", ""canton"": ""SH"", ""customer_created_date"": ""2020-09-09"", ""customer_id"": ""C015205"", ""customer_type"": ""Private"", ""lead_source"": ""Organic Search"", ""preferred_contact_method"": ""Email""}"
QR0000043,dim_customer,C030092,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""25-34"", ""canton"": ""LU"", ""customer_created_date"": ""2020-11-01"", ""customer_id"": ""C030092"", ""customer_type"": ""Private"", ""lead_source"": ""Direct"", ""preferred_contact_method"": ""Email""}"
QR0000044,dim_customer,C018436,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""25-34"", ""canton"": ""NE"", ""customer_created_date"": ""2022-10-14"", ""customer_id"": ""C018436"", ""customer_type"": ""Private"", ""lead_source"": ""Social Media"", ""preferred_contact_method"": ""Phone""}"
QR0000045,dim_customer,C001417,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""18-24"", ""canton"": ""AG"", ""customer_created_date"": ""2021-07-27"", ""customer_id"": ""C001417"", ""customer_type"": ""Private"", ""lead_source"": ""Direct"", ""preferred_contact_method"": ""Phone""}"
QR0000046,dim_customer,C016036,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""25-34"", ""canton"": ""LU"", ""customer_created_date"": ""2024-10-30"", ""customer_id"": ""C016036"", ""customer_type"": ""Business"", ""lead_source"": ""Paid Search"", ""preferred_contact_method"": ""Email""}"
QR0000047,dim_customer,C049804,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""55-64"", ""canton"": ""TI"", ""customer_created_date"": ""2022-08-25"", ""customer_id"": ""C049804"", ""customer_type"": ""Private"", ""lead_source"": ""Paid Search"", ""preferred_contact_method"": ""Email""}"
QR0000048,dim_customer,C007103,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""55-64"", ""canton"": ""BE"", ""customer_created_date"": ""2021-11-14"", ""customer_id"": ""C007103"", ""customer_type"": ""Private"", ""lead_source"": ""Dealer Referral"", ""preferred_contact_method"": ""Phone""}"
QR0000049,dim_customer,C042444,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""45-54"", ""canton"": ""TI"", ""customer_created_date"": ""2021-06-13"", ""customer_id"": ""C042444"", ""customer_type"": ""Private"", ""lead_source"": ""Organic Search"", ""preferred_contact_method"": ""Email""}"
QR0000050,dim_customer,C006724,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""35-44"", ""canton"": ""BS"", ""customer_created_date"": ""2020-09-08"", ""customer_id"": ""C006724"", ""customer_type"": ""Private"", ""lead_source"": ""Partner"", ""preferred_contact_method"": ""Phone""}"
QR0000051,dim_vehicle,V0001843,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""Skoda"", ""estimated_market_value"": ""19476.92"", ""fuel_type"": ""Petrol"", ""manufacture_year"": ""2018"", ""mileage_km"": ""900000"", ""model"": ""Octavia"", ""vehicle_condition"": ""Good"", ""vehicle_id"": ""V0001843"", ""vehicle_type"": ""Estate""}"
QR0000052,dim_vehicle,V0002083,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""Toyota"", ""estimated_market_value"": ""24842.34"", ""fuel_type"": ""Petrol"", ""manufacture_year"": ""2022"", ""mileage_km"": ""900000"", ""model"": ""Corolla"", ""vehicle_condition"": ""Good"", ""vehicle_id"": ""V0002083"", ""vehicle_type"": ""Hatchback""}"
QR0000053,dim_vehicle,V0003390,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""Volkswagen"", ""estimated_market_value"": ""9919.15"", ""fuel_type"": ""Petrol"", ""manufacture_year"": ""2015"", ""mileage_km"": ""900000"", ""model"": ""Golf"", ""vehicle_condition"": ""Fair"", ""vehicle_id"": ""V0003390"", ""vehicle_type"": ""Hatchback""}"
QR0000054,dim_vehicle,V0003531,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""Dacia"", ""estimated_market_value"": ""8405.43"", ""fuel_type"": ""Electric"", ""manufacture_year"": ""2017"", ""mileage_km"": ""900000"", ""model"": ""Duster"", ""vehicle_condition"": ""Fair"", ""vehicle_id"": ""V0003531"", ""vehicle_type"": ""Suv""}"
QR0000055,dim_vehicle,V0004228,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""Toyota"", ""estimated_market_value"": ""23585.68"", ""fuel_type"": ""Diesel"", ""manufacture_year"": ""2018"", ""mileage_km"": ""900000"", ""model"": ""RAV4"", ""vehicle_condition"": ""Excellent"", ""vehicle_id"": ""V0004228"", ""vehicle_type"": ""Suv""}"
QR0000056,dim_vehicle,V0006483,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""Skoda"", ""estimated_market_value"": ""21355.49"", ""fuel_type"": ""Petrol"", ""manufacture_year"": ""2021"", ""mileage_km"": ""900000"", ""model"": ""Octavia"", ""vehicle_condition"": ""Good"", ""vehicle_id"": ""V0006483"", ""vehicle_type"": ""Estate""}"
QR0000057,dim_vehicle,V0006508,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""Hyundai"", ""estimated_market_value"": ""21568.88"", ""fuel_type"": ""Electric"", ""manufacture_year"": ""2018"", ""mileage_km"": ""900000"", ""model"": ""Tucson"", ""vehicle_condition"": ""Good"", ""vehicle_id"": ""V0006508"", ""vehicle_type"": ""Suv""}"
QR0000058,dim_vehicle,V0007480,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""Tesla"", ""estimated_market_value"": ""12863.85"", ""fuel_type"": ""Electric"", ""manufacture_year"": ""2016"", ""mileage_km"": ""900000"", ""model"": ""Model Y"", ""vehicle_condition"": ""Good"", ""vehicle_id"": ""V0007480"", ""vehicle_type"": ""Suv""}"
QR0000059,dim_vehicle,V0008754,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""Renault"", ""estimated_market_value"": ""14291.65"", ""fuel_type"": ""Petrol"", ""manufacture_year"": ""2020"", ""mileage_km"": ""900000"", ""model"": ""Captur"", ""vehicle_condition"": ""Excellent"", ""vehicle_id"": ""V0008754"", ""vehicle_type"": ""Suv""}"
QR0000060,dim_vehicle,V0014025,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""Audi"", ""estimated_market_value"": ""58466.32"", ""fuel_type"": ""Petrol"", ""manufacture_year"": ""2023"", ""mileage_km"": ""900000"", ""model"": ""Q5"", ""vehicle_condition"": ""Good"", ""vehicle_id"": ""V0014025"", ""vehicle_type"": ""Suv""}"
QR0000061,dim_vehicle,V0015268,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""Audi"", ""estimated_market_value"": ""26665.68"", ""fuel_type"": ""Petrol"", ""manufacture_year"": ""2019"", ""mileage_km"": ""900000"", ""model"": ""A3"", ""vehicle_condition"": ""Good"", ""vehicle_id"": ""V0015268"", ""vehicle_type"": ""Hatchback""}"
QR0000062,dim_vehicle,V0016362,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""Volkswagen"", ""estimated_market_value"": ""13618.57"", ""fuel_type"": ""Diesel"", ""manufacture_year"": ""2018"", ""mileage_km"": ""900000"", ""model"": ""Passat"", ""vehicle_condition"": ""Fair"", ""vehicle_id"": ""V0016362"", ""vehicle_type"": ""Estate""}"
QR0000063,dim_vehicle,V0016587,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""Ford"", ""estimated_market_value"": ""38755.23"", ""fuel_type"": ""Petrol"", ""manufacture_year"": ""2024"", ""mileage_km"": ""900000"", ""model"": ""Kuga"", ""vehicle_condition"": ""Excellent"", ""vehicle_id"": ""V0016587"", ""vehicle_type"": ""Suv""}"
QR0000064,dim_vehicle,V0017138,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""Kia"", ""estimated_market_value"": ""12328.64"", ""fuel_type"": ""Petrol"", ""manufacture_year"": ""2015"", ""mileage_km"": ""900000"", ""model"": ""Sportage"", ""vehicle_condition"": ""Good"", ""vehicle_id"": ""V0017138"", ""vehicle_type"": ""Suv""}"
QR0000065,dim_vehicle,V0017155,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""Cupra"", ""estimated_market_value"": ""28176.3"", ""fuel_type"": ""Petrol"", ""manufacture_year"": ""2022"", ""mileage_km"": ""900000"", ""model"": ""Formentor"", ""vehicle_condition"": ""Good"", ""vehicle_id"": ""V0017155"", ""vehicle_type"": ""Suv""}"
QR0000066,dim_vehicle,V0017386,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""Ford"", ""estimated_market_value"": ""14619.44"", ""fuel_type"": ""Petrol"", ""manufacture_year"": ""2018"", ""mileage_km"": ""900000"", ""model"": ""Focus"", ""vehicle_condition"": ""Good"", ""vehicle_id"": ""V0017386"", ""vehicle_type"": ""Hatchback""}"
QR0000067,dim_vehicle,V0017411,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""Volkswagen"", ""estimated_market_value"": ""42250.56"", ""fuel_type"": ""Electric"", ""manufacture_year"": ""2024"", ""mileage_km"": ""900000"", ""model"": ""Tiguan"", ""vehicle_condition"": ""Good"", ""vehicle_id"": ""V0017411"", ""vehicle_type"": ""Suv""}"
QR0000068,dim_vehicle,V0019836,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""BMW"", ""estimated_market_value"": ""41962.28"", ""fuel_type"": ""Petrol"", ""manufacture_year"": ""2022"", ""mileage_km"": ""900000"", ""model"": ""X3"", ""vehicle_condition"": ""Good"", ""vehicle_id"": ""V0019836"", ""vehicle_type"": ""Suv""}"
QR0000069,dim_vehicle,V0020268,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""Land Rover"", ""estimated_market_value"": ""9288.3"", ""fuel_type"": ""Petrol"", ""manufacture_year"": ""2015"", ""mileage_km"": ""900000"", ""model"": ""Range Rover Evoque"", ""vehicle_condition"": ""Poor"", ""vehicle_id"": ""V0020268"", ""vehicle_type"": ""Suv""}"
QR0000070,dim_vehicle,V0021300,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""Mercedes-Benz"", ""estimated_market_value"": ""32802.36"", ""fuel_type"": ""Petrol"", ""manufacture_year"": ""2018"", ""mileage_km"": ""900000"", ""model"": ""GLC"", ""vehicle_condition"": ""Good"", ""vehicle_id"": ""V0021300"", ""vehicle_type"": ""Suv""}"
QR0000071,dim_vehicle,V0023604,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""Volkswagen"", ""estimated_market_value"": ""3057.47"", ""fuel_type"": ""Petrol"", ""manufacture_year"": ""2009"", ""mileage_km"": ""900000"", ""model"": ""Golf"", ""vehicle_condition"": ""Fair"", ""vehicle_id"": ""V0023604"", ""vehicle_type"": ""Hatchback""}"
QR0000072,dim_vehicle,V0024117,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""Ford"", ""estimated_market_value"": ""31304.51"", ""fuel_type"": ""Petrol"", ""manufacture_year"": ""2021"", ""mileage_km"": ""900000"", ""model"": ""Focus"", ""vehicle_condition"": ""Excellent"", ""vehicle_id"": ""V0024117"", ""vehicle_type"": ""Hatchback""}"
QR0000073,dim_vehicle,V0025419,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""Audi"", ""estimated_market_value"": ""29149.59"", ""fuel_type"": ""Electric"", ""manufacture_year"": ""2020"", ""mileage_km"": ""900000"", ""model"": ""A3"", ""vehicle_condition"": ""Good"", ""vehicle_id"": ""V0025419"", ""vehicle_type"": ""Hatchback""}"
QR0000074,dim_vehicle,V0026569,invalid_vehicle_domain,Quarantine values that cannot be corrected without inventing business data,2026-01-01T00:00:00Z,"{""brand"": ""BMW"", ""estimated_market_value"": ""47293.29"", ""fuel_type"": ""Electric"", ""manufacture_year"": ""2022"", ""mileage_km"": ""900000"", ""model"": ""3 Series"", ""vehicle_condition"": ""Good"", ""vehicle_id"": ""V0026569"", ""vehicle_type"": ""Sedan""}"
